Tarih,Sembol,Fiyat,Hacim,Değişim (%)
2026-02-23 15:25:00,MSFT,383.27,221064,-0.03
2026-02-23 15:30:00,MSFT,383.92,300202,0.17
2026-02-23 15:35:00,MSFT,383.46,309988,-0.12
2026-02-23 15:40:00,MSFT,383.47,11018214,0.0
2026-02-23 15:45:00,MSFT,383.61,272344,0.04
2026-02-23 15:50:00,MSFT,383.74,604450,0.03
2026-02-23 15:55:00,MSFT,383.67,137602,-0.02
2026-02-23 09:35:00,AMZN,206.38,1002152,-0.4
2026-02-23 09:40:00,AMZN,205.88,906197,-0.24
2026-02-23 09:45:00,AMZN,206.04,799759,0.08
2026-02-23 09:50:00,AMZN,205.91,547331,-0.06
2026-02-23 09:55:00,AMZN,205.57,3080024,-0.17
2026-02-23 10:00:00,AMZN,205.15,616108,-0.2
2026-02-23 10:05:00,AMZN,204.12,4204460,-0.5
2026-02-23 10:10:00,AMZN,204.58,4527290,0.23
2026-02-23 10:15:00,AMZN,204.85,4508100,0.13
2026-02-23 10:20:00,AMZN,204.87,386145,0.01
2026-02-23 10:25:00,AMZN,204.63,363184,-0.12
2026-02-23 10:30:00,AMZN,204.67,5354836,0.02
2026-02-23 10:35:00,AMZN,204.75,10699459,0.04
2026-02-23 10:40:00,AMZN,204.8,5594720,0.02
2026-02-23 10:45:00,AMZN,204.98,5723237,0.09
2026-02-23 10:50:00,AMZN,204.37,405238,-0.3
2026-02-23 10:55:00,AMZN,204.54,523122,0.09
2026-02-23 11:00:00,AMZN,203.84,453043,-0.34
2026-02-23 11:05:00,AMZN,203.81,445853,-0.01
2026-02-23 11:10:00,AMZN,203.91,405073,0.05
2026-02-23 11:15:00,AMZN,204.24,343534,0.16
2026-02-23 11:20:00,AMZN,204.23,14740525,-0.0
2026-02-23 11:25:00,AMZN,204.46,385832,0.11
2026-02-23 11:30:00,AMZN,203.92,7917774,-0.26
2026-02-23 11:35:00,AMZN,204.13,16111579,0.1
2026-02-23 11:40:00,AMZN,204.12,190955,-0.0
2026-02-23 11:45:00,AMZN,204.29,16665982,0.09
2026-02-23 11:50:00,AMZN,204.39,8677311,0.05
2026-02-23 11:55:00,AMZN,204.11,275173,-0.14
2026-02-23 12:00:00,AMZN,203.98,9088697,-0.06
2026-02-23 12:05:00,AMZN,203.73,322447,-0.13
2026-02-23 12:10:00,AMZN,203.71,9403042,-0.0
2026-02-23 12:15:00,AMZN,203.64,9451574,-0.04
2026-02-23 12:20:00,AMZN,203.57,9582699,-0.03
2026-02-23 12:25:00,AMZN,203.44,9797196,-0.06
2026-02-23 12:30:00,AMZN,203.49,263826,0.03
2026-02-23 12:35:00,AMZN,203.21,10151501,-0.14
2026-02-23 12:40:00,AMZN,203.6,228809,0.19
2026-02-23 12:45:00,AMZN,203.8,231854,0.1
2026-02-23 12:50:00,AMZN,204.23,496370,0.21
2026-02-23 12:55:00,AMZN,204.04,10628492,-0.09
2026-02-23 13:00:00,AMZN,204.12,258062,0.04
2026-02-23 13:05:00,AMZN,204.22,214696,0.05
2026-02-23 13:10:00,AMZN,204.54,339163,0.16
2026-02-23 13:15:00,AMZN,204.38,11169699,-0.08
2026-02-23 13:20:00,AMZN,204.59,11278472,0.1
2026-02-23 13:25:00,AMZN,204.43,11306093,-0.08
2026-02-23 13:30:00,AMZN,204.35,11920437,-0.04
2026-02-23 13:35:00,AMZN,204.22,257055,-0.06
2026-02-23 13:40:00,AMZN,203.93,12313576,-0.14
2026-02-23 13:45:00,AMZN,204.16,12314382,0.11
2026-02-23 13:50:00,AMZN,204.3,172944,0.07
2026-02-23 13:55:00,AMZN,203.9,213734,-0.2
2026-02-23 14:00:00,AMZN,204.0,12740478,0.05
2026-02-23 14:05:00,AMZN,204.04,170462,0.02
2026-02-23 14:10:00,AMZN,204.39,12861488,0.17
2026-02-23 14:15:00,AMZN,204.18,13031855,-0.1
2026-02-23 14:20:00,AMZN,204.34,209700,0.08
2026-02-23 14:25:00,AMZN,204.38,268722,0.02
2026-02-23 14:30:00,AMZN,204.81,235443,0.21
2026-02-23 14:35:00,AMZN,204.77,265433,-0.02
2026-02-23 14:40:00,AMZN,204.48,13794790,-0.14
2026-02-23 14:45:00,AMZN,204.72,201147,0.12
2026-02-23 14:50:00,AMZN,204.49,229811,-0.11
2026-02-23 14:55:00,AMZN,204.25,14005516,-0.12
2026-02-23 15:00:00,AMZN,204.14,272894,-0.05
2026-02-23 15:05:00,AMZN,204.31,289740,0.08
2026-02-23 15:10:00,AMZN,204.28,14322729,-0.01
2026-02-23 15:15:00,AMZN,204.67,229822,0.19
2026-02-23 15:20:00,AMZN,204.57,14523296,-0.05
2026-02-23 15:25:00,AMZN,204.67,209209,0.05
2026-02-23 15:30:00,AMZN,205.11,342855,0.21
2026-02-23 15:35:00,AMZN,204.9,15293377,-0.1
2026-02-23 15:40:00,AMZN,205.0,212755,0.05
2026-02-23 15:45:00,AMZN,205.03,316385,0.01
2026-02-23 15:50:00,AMZN,204.87,660543,-0.08
2026-02-23 15:55:00,AMZN,204.9,142948,0.01
2026-02-23 09:35:00,GOOGL,317.71,1603207,-0.06
2026-02-23 09:40:00,GOOGL,315.83,1902612,-0.59
2026-02-23 09:45:00,GOOGL,316.38,1987829,0.17
2026-02-23 09:50:00,GOOGL,316.2,438065,-0.06
2026-02-23 09:55:00,GOOGL,315.34,2166208,-0.27
2026-02-23 10:00:00,GOOGL,315.38,347367,0.01
2026-02-23 10:05:00,GOOGL,315.33,295692,-0.02
2026-02-23 10:10:00,GOOGL,315.74,246839,0.13
2026-02-23 10:15:00,GOOGL,316.55,322121,0.26
2026-02-23 10:20:00,GOOGL,316.26,197963,-0.09
2026-02-23 10:25:00,GOOGL,315.76,5381154,-0.16
2026-02-23 10:30:00,GOOGL,314.34,3175146,-0.45
2026-02-23 10:35:00,GOOGL,314.18,3032208,-0.05
2026-02-23 10:40:00,GOOGL,314.08,5963606,-0.03
2026-02-23 10:45:00,GOOGL,314.58,3198355,0.16
2026-02-23 10:50:00,GOOGL,313.77,3320133,-0.26
2026-02-23 10:55:00,GOOGL,312.83,3601864,-0.3
2026-02-23 11:00:00,GOOGL,312.51,3605760,-0.1
2026-02-23 11:05:00,GOOGL,312.33,3881179,-0.06
2026-02-23 11:10:00,GOOGL,312.13,3768956,-0.06
2026-02-23 11:15:00,GOOGL,312.86,4085427,0.23
2026-02-23 11:20:00,GOOGL,313.31,4136492,0.14
2026-02-23 11:25:00,GOOGL,314.06,216375,0.24
2026-02-23 11:30:00,GOOGL,313.85,8304766,-0.07
2026-02-23 11:35:00,GOOGL,313.66,4281543,-0.06
2026-02-23 11:40:00,GOOGL,313.95,159183,0.09
2026-02-23 11:45:00,GOOGL,313.63,4424375,-0.1
2026-02-23 11:50:00,GOOGL,314.21,132591,0.19
2026-02-23 11:55:00,GOOGL,313.89,114456,-0.11
2026-02-23 12:00:00,GOOGL,313.76,4592930,-0.04
2026-02-23 12:05:00,GOOGL,313.82,4570721,0.02
2026-02-23 12:10:00,GOOGL,313.66,4648240,-0.05
2026-02-23 12:15:00,GOOGL,313.67,9239762,0.0
2026-02-23 12:20:00,GOOGL,313.89,4652440,0.07
2026-02-23 12:25:00,GOOGL,313.84,4731583,-0.02
2026-02-23 12:30:00,GOOGL,313.65,90516,-0.06
2026-02-23 12:35:00,GOOGL,312.81,133074,-0.27
2026-02-23 12:40:00,GOOGL,313.25,118676,0.14
2026-02-23 12:45:00,GOOGL,313.12,82920,-0.04
2026-02-23 12:50:00,GOOGL,313.36,9554369,0.08
2026-02-23 12:55:00,GOOGL,313.47,121789,0.04
2026-02-23 13:00:00,GOOGL,314.24,5015533,0.25
2026-02-23 13:05:00,GOOGL,314.34,149722,0.03
2026-02-23 13:10:00,GOOGL,314.32,133459,-0.01
2026-02-23 13:15:00,GOOGL,314.27,5250040,-0.02
2026-02-23 13:20:00,GOOGL,314.77,5287621,0.16
2026-02-23 13:25:00,GOOGL,314.55,5347541,-0.07
2026-02-23 13:30:00,GOOGL,314.23,93307,-0.1
2026-02-23 13:35:00,GOOGL,314.07,90778,-0.05
2026-02-23 13:40:00,GOOGL,313.61,143989,-0.15
2026-02-23 13:45:00,GOOGL,313.7,88831,0.03
2026-02-23 13:50:00,GOOGL,313.02,89530,-0.21
2026-02-23 13:55:00,GOOGL,312.89,5549493,-0.04
2026-02-23 14:00:00,GOOGL,312.92,93439,0.01
2026-02-23 14:05:00,GOOGL,312.96,103577,0.01
2026-02-23 14:10:00,GOOGL,312.93,5642141,-0.01
2026-02-23 14:15:00,GOOGL,312.76,70943,-0.05
2026-02-23 14:20:00,GOOGL,312.84,106653,0.03
2026-02-23 14:25:00,GOOGL,312.64,135332,-0.06
2026-02-23 14:30:00,GOOGL,312.81,134605,0.05
